date,total_incidents
2014-11-28,126
2014-11-29,117
2014-11-30,115
2014-12-01,172
2014-12-02,109
2014-12-03,125
2014-12-04,118
2014-12-05,132
2014-12-06,100
2014-12-07,100
2014-12-08,139
2014-12-09,110
2014-12-10,114
2014-12-11,117
2014-12-12,144
2014-12-13,115
2014-12-14,125
2014-12-15,122
2014-12-16,132
2014-12-17,123
2014-12-18,119
2014-12-19,128
2014-12-20,129
2014-12-21,100
2014-12-22,155
2014-12-23,118
2014-12-24,121
2014-12-25,83
2014-12-26,76
2014-12-27,107
2014-12-28,117
2014-12-29,98
2014-12-30,111
2014-12-31,109
2015-01-01,160
2015-01-02,108
2015-01-03,74
2015-01-04,96
2015-01-05,122
2015-01-06,87
2015-01-07,108
2015-01-08,84
2015-01-09,103
2015-01-10,84
2015-01-11,92
2015-01-12,126
2015-01-13,135
2015-01-14,127
2015-01-15,142
2015-01-16,130
2015-01-17,128
2015-01-18,111
2015-01-19,141
2015-01-20,121
2015-01-21,123
2015-01-22,115
2015-01-23,140
2015-01-24,123
2015-01-25,88
2015-01-26,113
2015-01-27,132
2015-01-28,121
2015-01-29,116
2015-01-30,123
2015-01-31,100
2015-02-01,106
2015-02-02,124
2015-02-03,105
2015-02-04,97
2015-02-05,107
2015-02-06,105
2015-02-07,97
2015-02-08,63
2015-02-09,110
2015-02-10,101
2015-02-11,103
2015-02-12,97
2015-02-13,124
2015-02-14,82
2015-02-15,75
2015-02-16,66
2015-02-17,73
2015-02-18,90
2015-02-19,76
2015-02-20,93
2015-02-21,65
2015-02-22,76
2015-02-23,79
2015-02-24,82
2015-02-25,116
2015-02-26,92
2015-02-27,101
2015-02-28,103
2015-03-01,77
2015-03-02,78
2015-03-03,101
2015-03-04,101
2015-03-05,54
2015-03-06,92
2015-03-07,83
2015-03-08,104
2015-03-09,94
2015-03-10,115
2015-03-11,123
2015-03-12,137
2015-03-13,128
2015-03-14,115
2015-03-15,99
2015-03-16,121
2015-03-17,144
2015-03-18,112
2015-03-19,111
2015-03-20,121
2015-03-21,116
2015-03-22,100
2015-03-23,123
2015-03-24,109
2015-03-25,118
2015-03-26,114
2015-03-27,143
2015-03-28,119
2015-03-29,95
2015-03-30,115
2015-03-31,106
2015-04-01,118
2015-04-02,132
2015-04-03,128
2015-04-04,109
2015-04-05,89
2015-04-06,122
2015-04-07,101
2015-04-08,101
2015-04-09,105
2015-04-10,93
2015-04-11,113
2015-04-12,100
2015-04-13,105
2015-04-14,109
2015-04-15,133
2015-04-16,139
2015-04-17,123
2015-04-18,128
2015-04-19,118
2015-04-20,124
2015-04-21,127
2015-04-22,108
2015-04-23,136
2015-04-24,134
2015-04-25,168
2015-04-26,97
2015-04-27,421
2015-04-28,184
2015-04-29,104
2015-04-30,118
2015-05-01,127
2015-05-02,92
2015-05-03,96
2015-05-04,121
2015-05-05,158
2015-05-06,135
2015-05-07,145
2015-05-08,125
2015-05-09,124
2015-05-10,149
2015-05-11,153
2015-05-12,147
2015-05-13,122
2015-05-14,131
2015-05-15,172
2015-05-16,137
2015-05-17,105
2015-05-18,132
2015-05-19,156
2015-05-20,173
2015-05-21,147
2015-05-22,163
2015-05-23,137
2015-05-24,124
2015-05-25,143
2015-05-26,178
2015-05-27,164
2015-05-28,173
2015-05-29,178
2015-05-30,158
2015-05-31,134
2015-06-01,148
2015-06-02,174
2015-06-03,125
2015-06-04,133
2015-06-05,124
2015-06-06,180
2015-06-07,168
2015-06-08,164
2015-06-09,163
2015-06-10,137
2015-06-11,174
2015-06-12,169
2015-06-13,151
2015-06-14,135
2015-06-15,152
2015-06-16,132
2015-06-17,163
2015-06-18,125
2015-06-19,158
2015-06-20,139
2015-06-21,151
2015-06-22,177
2015-06-23,151
2015-06-24,136
2015-06-25,151
2015-06-26,145
2015-06-27,129
2015-06-28,155
2015-06-29,179
2015-06-30,124
2015-07-01,141
2015-07-02,168
2015-07-03,150
2015-07-04,142
2015-07-05,139
2015-07-06,136
2015-07-07,169
2015-07-08,152
2015-07-09,155
2015-07-10,145
2015-07-11,147
2015-07-12,160
2015-07-13,166
2015-07-14,165
2015-07-15,154
2015-07-16,144
2015-07-17,131
2015-07-18,148
2015-07-19,148
2015-07-20,165
2015-07-21,140
2015-07-22,144
2015-07-23,154
2015-07-24,154
2015-07-25,164
2015-07-26,178
2015-07-27,168
2015-07-28,154
2015-07-29,135
2015-07-30,133
2015-07-31,143
2015-08-01,162
2015-08-02,164
2015-08-03,145
2015-08-04,143
2015-08-05,130
2015-08-06,141
2015-08-07,158
2015-08-08,160
2015-08-09,150
2015-08-10,155
2015-08-11,125
2015-08-12,119
2015-08-13,141
2015-08-14,152
2015-08-15,144
2015-08-16,123
2015-08-17,143
2015-08-18,149
2015-08-19,145
2015-08-20,142
2015-08-21,151
2015-08-22,166
2015-08-23,157
2015-08-24,153
2015-08-25,163
2015-08-26,152
2015-08-27,154
2015-08-28,136
2015-08-29,140
2015-08-30,136
2015-08-31,158
2015-09-01,154
2015-09-02,131
2015-09-03,121
2015-09-04,139
2015-09-05,147
2015-09-06,139
2015-09-07,164
2015-09-08,133
2015-09-09,140
2015-09-10,149
2015-09-11,162
2015-09-12,136
2015-09-13,147
2015-09-14,137
2015-09-15,153
2015-09-16,144
2015-09-17,162
2015-09-18,151
2015-09-19,130
2015-09-20,160
2015-09-21,145
2015-09-22,164
2015-09-23,159
2015-09-24,131
2015-09-25,143
2015-09-26,132
2015-09-27,138
2015-09-28,146
2015-09-29,134
2015-09-30,142
2015-10-01,135
2015-10-02,138
2015-10-03,96
2015-10-04,107
2015-10-05,157
2015-10-06,139
2015-10-07,142
2015-10-08,123
2015-10-09,155
2015-10-10,137
2015-10-11,129
2015-10-12,119
2015-10-13,139
2015-10-14,142
2015-10-15,134
2015-10-16,128
2015-10-17,127
2015-10-18,123
2015-10-19,109
2015-10-20,156
2015-10-21,149
2015-10-22,144
2015-10-23,156
2015-10-24,128
2015-10-25,138
2015-10-26,137
2015-10-27,147
2015-10-28,141
2015-10-29,134
2015-10-30,165
2015-10-31,125
2015-11-01,146
2015-11-02,152
2015-11-03,142
2015-11-04,128
2015-11-05,154
2015-11-06,173
2015-11-07,119
2015-11-08,105
2015-11-09,127
2015-11-10,137
2015-11-11,127
2015-11-12,141
2015-11-13,117
2015-11-14,102
2015-11-15,147
2015-11-16,125
2015-11-17,142
2015-11-18,146
2015-11-19,159
2015-11-20,142
2015-11-21,162
2015-11-22,129
2015-11-23,114
2015-11-24,141
2015-11-25,123
2015-11-26,99
2015-11-27,134
2015-11-28,159
2015-11-29,110
2015-11-30,137
2015-12-01,129
2015-12-02,129
2015-12-03,116
2015-12-04,120
2015-12-05,93
2015-12-06,118
2015-12-07,116
2015-12-08,116
2015-12-09,139
2015-12-10,155
2015-12-11,151
2015-12-12,168
2015-12-13,126
2015-12-14,133
2015-12-15,161
2015-12-16,143
2015-12-17,115
2015-12-18,138
2015-12-19,124
2015-12-20,139
2015-12-21,146
2015-12-22,149
2015-12-23,128
2015-12-24,131
2015-12-25,106
2015-12-26,127
2015-12-27,134
2015-12-28,132
2015-12-29,123
2015-12-30,121
2015-12-31,99
2016-01-01,154
2016-01-02,111
2016-01-03,112
2016-01-04,115
2016-01-05,122
2016-01-06,118
2016-01-07,139
2016-01-08,159
2016-01-09,130
2016-01-10,119
2016-01-11,110
2016-01-12,142
2016-01-13,113
2016-01-14,136
2016-01-15,123
2016-01-16,121
2016-01-17,129
2016-01-18,105
2016-01-19,125
2016-01-20,98
2016-01-21,99
2016-01-22,100
2016-01-23,32
2016-01-24,44
2016-01-25,65
2016-01-26,75
2016-01-27,90
2016-01-28,96
2016-01-29,102
2016-01-30,93
2016-01-31,105
2016-02-01,110
2016-02-02,105
2016-02-03,105
2016-02-04,94
2016-02-05,100
2016-02-06,96
2016-02-07,104
2016-02-08,124
2016-02-09,91
2016-02-10,109
2016-02-11,76
2016-02-12,107
2016-02-13,88
2016-02-14,72
2016-02-15,66
2016-02-16,97
2016-02-17,105
2016-02-18,83
2016-02-19,125
2016-02-20,89
2016-02-21,99
2016-02-22,110
2016-02-23,99
2016-02-24,101
2016-02-25,102
2016-02-26,119
2016-02-27,71
2016-02-28,109
2016-02-29,118
2016-03-01,121
2016-03-02,83
2016-03-03,100
2016-03-04,112
2016-03-05,110
2016-03-06,102
2016-03-07,150
2016-03-08,112
2016-03-09,102
2016-03-10,126
2016-03-11,126
2016-03-12,134
2016-03-13,84
2016-03-14,104
2016-03-15,119
2016-03-16,138
2016-03-17,135
2016-03-18,122
2016-03-19,96
2016-03-20,89
2016-03-21,129
2016-03-22,136
2016-03-23,133
2016-03-24,130
2016-03-25,133
2016-03-26,134
2016-03-27,111
2016-03-28,103
2016-03-29,117
2016-03-30,134
2016-03-31,96
2016-04-01,130
2016-04-02,135
2016-04-03,97
2016-04-04,107
2016-04-05,107
2016-04-06,139
2016-04-07,120
2016-04-08,127
2016-04-09,117
2016-04-10,106
2016-04-11,147
2016-04-12,124
2016-04-13,134
2016-04-14,133
2016-04-15,134
2016-04-16,151
2016-04-17,114
2016-04-18,149
2016-04-19,140
2016-04-20,156
2016-04-21,136
2016-04-22,150
2016-04-23,124
2016-04-24,143
2016-04-25,145
2016-04-26,153
2016-04-27,124
2016-04-28,126
2016-04-29,128
2016-04-30,102
2016-05-01,119
2016-05-02,146
2016-05-03,139
2016-05-04,129
2016-05-05,129
2016-05-06,145
2016-05-07,116
2016-05-08,122
2016-05-09,155
2016-05-10,140
2016-05-11,132
2016-05-12,167
2016-05-13,137
2016-05-14,118
2016-05-15,140
2016-05-16,130
2016-05-17,140
2016-05-18,130
2016-05-19,129
2016-05-20,152
2016-05-21,129
2016-05-22,116
2016-05-23,123
2016-05-24,154
2016-05-25,152
2016-05-26,156
2016-05-27,157
2016-05-28,161
2016-05-29,108
2016-05-30,167
2016-05-31,130
2016-06-01,134
2016-06-02,131
2016-06-03,137
2016-06-04,152
2016-06-05,255
2016-06-06,171
2016-06-07,131
2016-06-08,164
2016-06-09,140
2016-06-10,164
2016-06-11,157
2016-06-12,129
2016-06-13,172
2016-06-14,132
2016-06-15,161
2016-06-16,125
2016-06-17,128
2016-06-18,141
2016-06-19,143
2016-06-20,187
2016-06-21,143
2016-06-22,150
2016-06-23,156
2016-06-24,131
2016-06-25,151
2016-06-26,133
2016-06-27,122
2016-06-28,139
2016-06-29,144
2016-06-30,112
2016-07-01,147
2016-07-02,108
2016-07-03,138
2016-07-04,103
2016-07-05,151
2016-07-06,139
2016-07-07,138
2016-07-08,119
2016-07-09,105
2016-07-10,128
2016-07-11,164
2016-07-12,130
2016-07-13,131
2016-07-14,137
2016-07-15,130
2016-07-16,128
2016-07-17,137
2016-07-18,122
2016-07-19,141
2016-07-20,162
2016-07-21,139
2016-07-22,138
2016-07-23,110
2016-07-24,124
2016-07-25,148
2016-07-26,138
2016-07-27,131
2016-07-28,142
2016-07-29,130
2016-07-30,125
2016-07-31,128
2016-08-01,146
2016-08-02,151
2016-08-03,133
2016-08-04,130
2016-08-05,147
2016-08-06,128
2016-08-07,149
2016-08-08,148
2016-08-09,126
2016-08-10,147
2016-08-11,125
2016-08-12,138
2016-08-13,160
2016-08-14,109
2016-08-15,135
2016-08-16,135
2016-08-17,132
2016-08-18,142
2016-08-19,146
2016-08-20,138
2016-08-21,121
2016-08-22,152
2016-08-23,133
2016-08-24,131
2016-08-25,134
2016-08-26,145
2016-08-27,144
2016-08-28,153
2016-08-29,142
2016-08-30,141
2016-08-31,137
2016-09-01,170
2016-09-02,134
2016-09-03,129
2016-09-04,136
2016-09-05,131
2016-09-06,144
2016-09-07,160
2016-09-08,131
2016-09-09,151
2016-09-10,149
2016-09-11,180
2016-09-12,161
2016-09-13,150
2016-09-14,132
2016-09-15,155
2016-09-16,146
2016-09-17,143
2016-09-18,145
2016-09-19,136
2016-09-20,149
2016-09-21,143
2016-09-22,186
2016-09-23,165
2016-09-24,189
2016-09-25,157
2016-09-26,125
2016-09-27,156
2016-09-28,140
2016-09-29,131
2016-09-30,169
2016-10-01,147
2016-10-02,146
2016-10-03,133
2016-10-04,142
2016-10-05,154
2016-10-06,126
2016-10-07,171
2016-10-08,147
2016-10-09,149
2016-10-10,152
2016-10-11,153
2016-10-12,146
2016-10-13,148
2016-10-14,156
2016-10-15,163
2016-10-16,143
2016-10-17,183
2016-10-18,150
2016-10-19,189
2016-10-20,177
2016-10-21,160
2016-10-22,130
2016-10-23,151
2016-10-24,161
2016-10-25,179
2016-10-26,143
2016-10-27,152
2016-10-28,165
2016-10-29,138
2016-10-30,171
2016-10-31,196
2016-11-01,186
2016-11-02,156
2016-11-03,152
2016-11-04,170
2016-11-05,146
2016-11-06,155
2016-11-07,140
2016-11-08,127
2016-11-09,136
2016-11-10,140
2016-11-11,154
2016-11-12,129
2016-11-13,120
2016-11-14,131
2016-11-15,150
2016-11-16,160
2016-11-17,176
2016-11-18,165
2016-11-19,130
2016-11-20,114
2016-11-21,137
2016-11-22,160
2016-11-23,147
2016-11-24,112
2016-11-25,133
2016-11-26,117
2016-11-27,131
2016-11-28,187
2016-11-29,167
2016-11-30,141
2016-12-01,170
2016-12-02,153
2016-12-03,133
2016-12-04,130
2016-12-05,150
2016-12-06,123
2016-12-07,140
2016-12-08,156
2016-12-09,114
2016-12-10,123
2016-12-11,136
2016-12-12,124
2016-12-13,169
2016-12-14,131
2016-12-15,125
2016-12-16,119
2016-12-17,90
2016-12-18,129
2016-12-19,140
2016-12-20,179
2016-12-21,142
2016-12-22,157
2016-12-23,158
2016-12-24,121
2016-12-25,118
2016-12-26,115
2016-12-27,144
2016-12-28,161
2016-12-29,127
2016-12-30,112
2016-12-31,125
2017-01-01,155
2017-01-02,146
2017-01-03,130
2017-01-04,149
2017-01-05,148
2017-01-06,134
2017-01-07,118
2017-01-08,99
2017-01-09,122
2017-01-10,169
2017-01-11,163
2017-01-12,172
2017-01-13,154
2017-01-14,110
2017-01-15,130
2017-01-16,139
2017-01-17,171
2017-01-18,134
2017-01-19,153
2017-01-20,205
2017-01-21,157
2017-01-22,114
2017-01-23,153
2017-01-24,138
2017-01-25,167
2017-01-26,160
2017-01-27,162
2017-01-28,176
2017-01-29,150
2017-01-30,144
2017-01-31,145
2017-02-01,140
2017-02-02,159
2017-02-03,155
2017-02-04,142
2017-02-05,118
2017-02-06,134
2017-02-07,124
2017-02-08,124
2017-02-09,140
2017-02-10,147
2017-02-11,137
2017-02-12,127
2017-02-13,128
2017-02-14,149
2017-02-15,142
2017-02-16,130
2017-02-17,144
2017-02-18,155
2017-02-19,109
2017-02-20,113
2017-02-21,156
2017-02-22,129
2017-02-23,149
2017-02-24,134
2017-02-25,131
2017-02-26,100
2017-02-27,116
2017-02-28,104
2017-03-01,148
2017-03-02,109
2017-03-03,129
2017-03-04,101
2017-03-05,94
2017-03-06,113
2017-03-07,124
2017-03-08,134
2017-03-09,110
2017-03-10,113
2017-03-11,127
2017-03-12,91
2017-03-13,112
2017-03-14,74
2017-03-15,84
2017-03-16,120
2017-03-17,135
2017-03-18,147
2017-03-19,105
2017-03-20,121
2017-03-21,150
2017-03-22,136
2017-03-23,138
2017-03-24,150
2017-03-25,127
2017-03-26,133
2017-03-27,152
2017-03-28,118
2017-03-29,136
2017-03-30,126
2017-03-31,116
2017-04-01,159
2017-04-02,102
2017-04-03,156
2017-04-04,133
2017-04-05,132
2017-04-06,115
2017-04-07,128
2017-04-08,135
2017-04-09,138
2017-04-10,163
2017-04-11,138
2017-04-12,131
2017-04-13,121
2017-04-14,146
2017-04-15,165
2017-04-16,141
2017-04-17,129
2017-04-18,106
2017-04-19,139
2017-04-20,158
2017-04-21,163
2017-04-22,150
2017-04-23,152
2017-04-24,130
2017-04-25,139
2017-04-26,138
2017-04-27,142
2017-04-28,155
2017-04-29,122
2017-04-30,144
2017-05-01,136
2017-05-02,168
2017-05-03,145
2017-05-04,147
2017-05-05,141
2017-05-06,167
2017-05-07,136
2017-05-08,153
2017-05-09,130
2017-05-10,138
2017-05-11,119
2017-05-12,157
2017-05-13,134
2017-05-14,136
2017-05-15,156
2017-05-16,155
2017-05-17,181
2017-05-18,143
2017-05-19,141
2017-05-20,169
2017-05-21,146
2017-05-22,180
2017-05-23,130
2017-05-24,148
2017-05-25,154
2017-05-26,166
2017-05-27,141
2017-05-28,122
2017-05-29,137
2017-05-30,144
2017-05-31,166
2017-06-01,170
2017-06-02,163
2017-06-03,138
2017-06-04,114
2017-06-05,144
2017-06-06,147
2017-06-07,156
2017-06-08,167
2017-06-09,179
2017-06-10,132
2017-06-11,169
2017-06-12,158
2017-06-13,166
2017-06-14,145
2017-06-15,141
2017-06-16,144
2017-06-17,165
2017-06-18,158
2017-06-19,155
2017-06-20,127
2017-06-21,158
2017-06-22,125
2017-06-23,179
2017-06-24,157
2017-06-25,149
2017-06-26,171
2017-06-27,161
2017-06-28,150
2017-06-29,147
2017-06-30,173
2017-07-01,148
2017-07-02,128
2017-07-03,127
2017-07-04,139
2017-07-05,150
2017-07-06,142
2017-07-07,157
2017-07-08,109
2017-07-09,128
2017-07-10,157
2017-07-11,151
2017-07-12,163
2017-07-13,161
2017-07-14,181
2017-07-15,152
2017-07-16,139
2017-07-17,154
2017-07-18,142
2017-07-19,162
2017-07-20,151
2017-07-21,166
2017-07-22,141
2017-07-23,173
2017-07-24,159
2017-07-25,175
2017-07-26,130
2017-07-27,139
2017-07-28,145
2017-07-29,148
2017-07-30,154
2017-07-31,157
2017-08-01,158
2017-08-02,150
2017-08-03,168
2017-08-04,130
2017-08-05,138
2017-08-06,157
2017-08-07,132
2017-08-08,146
2017-08-09,146
2017-08-10,154
2017-08-11,145
2017-08-12,164
2017-08-13,177
2017-08-14,168
2017-08-15,151
2017-08-16,160
2017-08-17,153
2017-08-18,128
2017-08-19,134
2017-08-20,138
2017-08-21,161
2017-08-22,178
2017-08-23,143
2017-08-24,146
2017-08-25,161
2017-08-26,162
2017-08-27,170
2017-08-28,128
2017-08-29,128
2017-08-30,143
2017-08-31,154
2017-09-01,142
2017-09-02,123
2017-09-03,126
2017-09-04,143
2017-09-05,124
2017-09-06,114
2017-09-07,130
2017-09-08,149
2017-09-09,144
2017-09-10,137
2017-09-11,157
2017-09-12,131
2017-09-13,138
2017-09-14,135
2017-09-15,162
2017-09-16,149
2017-09-17,151
2017-09-18,174
2017-09-19,151
2017-09-20,145
2017-09-21,149
2017-09-22,173
2017-09-23,171
2017-09-24,157
2017-09-25,167
2017-09-26,172
2017-09-27,160
2017-09-28,151
2017-09-29,148
2017-09-30,141
2017-10-01,153
2017-10-02,134
2017-10-03,151
2017-10-04,158
2017-10-05,180
2017-10-06,156
2017-10-07,159
2017-10-08,138
2017-10-09,173
2017-10-10,173
2017-10-11,152
2017-10-12,148
2017-10-13,178
2017-10-14,146
2017-10-15,151
2017-10-16,153
2017-10-17,143
2017-10-18,163
2017-10-19,130
2017-10-20,150
2017-10-21,155
2017-10-22,151
2017-10-23,156
2017-10-24,139
2017-10-25,202
2017-10-26,143
2017-10-27,139
2017-10-28,135
2017-10-29,164
2017-10-30,128
2017-10-31,177
2017-11-01,135
2017-11-02,128
2017-11-03,144
2017-11-04,144
2017-11-05,126
2017-11-06,145
2017-11-07,128
2017-11-08,152
2017-11-09,130
2017-11-10,138
2017-11-11,122
2017-11-12,127
2017-11-13,155
2017-11-14,152
2017-11-15,131
2017-11-16,151
2017-11-17,137
2017-11-18,137
2017-11-19,117
2017-11-20,148
2017-11-21,132
2017-11-22,147
2017-11-23,97
2017-11-24,166
2017-11-25,113
2017-11-26,155
2017-11-27,175
2017-11-28,149
2017-11-29,174
2017-11-30,136
2017-12-01,154
2017-12-02,118
2017-12-03,111
2017-12-04,149
2017-12-05,125
2017-12-06,151
2017-12-07,148
2017-12-08,155
2017-12-09,121
2017-12-10,124
2017-12-11,152
2017-12-12,161
2017-12-13,138
2017-12-14,125
2017-12-15,111
2017-12-16,106
2017-12-17,149
2017-12-18,163
2017-12-19,131
2017-12-20,151
2017-12-21,155
2017-12-22,158
2017-12-23,130
2017-12-24,125
2017-12-25,106
2017-12-26,117
2017-12-27,125
2017-12-28,89
2017-12-29,120
2017-12-30,98
2017-12-31,86
2018-01-01,126
2018-01-02,119
2018-01-03,125
2018-01-04,80
2018-01-05,101
2018-01-06,94
2018-01-07,102
2018-01-08,119
2018-01-09,134
2018-01-10,138
2018-01-11,149
2018-01-12,137
2018-01-13,123
2018-01-14,96
2018-01-15,122
2018-01-16,126
2018-01-17,96
2018-01-18,127
2018-01-19,135
2018-01-20,134
2018-01-21,122
2018-01-22,135
2018-01-23,112
2018-01-24,139
2018-01-25,130
2018-01-26,112
2018-01-27,129
2018-01-28,127
2018-01-29,125
2018-01-30,127
2018-01-31,119
2018-02-01,132
2018-02-02,121
2018-02-03,104
2018-02-04,85
2018-02-05,103
2018-02-06,151
2018-02-07,92
2018-02-08,111
2018-02-09,131
2018-02-10,104
2018-02-11,101
2018-02-12,119
2018-02-13,107
2018-02-14,107
2018-02-15,134
2018-02-16,124
2018-02-17,88
2018-02-18,96
2018-02-19,115
2018-02-20,118
2018-02-21,106
2018-02-22,98
2018-02-23,104
2018-02-24,88
2018-02-25,109
2018-02-26,131
2018-02-27,119
2018-02-28,115
2018-03-01,106
2018-03-02,105
2018-03-03,116
2018-03-04,105
2018-03-05,103
2018-03-06,99
2018-03-07,102
2018-03-08,112
2018-03-09,106
2018-03-10,114
2018-03-11,111
2018-03-12,136
2018-03-13,123
2018-03-14,104
2018-03-15,97
2018-03-16,136
2018-03-17,128
2018-03-18,122
2018-03-19,126
2018-03-20,103
2018-03-21,82
2018-03-22,140
2018-03-23,119
2018-03-24,110
2018-03-25,80
2018-03-26,86
2018-03-27,111
2018-03-28,110
2018-03-29,126
2018-03-30,140
2018-03-31,119
2018-04-01,102
2018-04-02,145
